track_name,mbz_id,fname,instrument,correct,f_score,iterations,time,threshold,transition_lambda,passes
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,mix,True,0.8750000000000001,9,08-08-23_19-40-33,0.08750000000000001,5.0,1
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,mix,True,0.9891304347826088,9,08-08-23_19-40-43,0.08750000000000001,5.0,1
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,mix,True,0.9677419354838709,9,08-08-23_19-40-50,0.08750000000000001,5.0,1
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,mix,True,0.9577464788732395,9,08-08-23_19-40-58,0.08750000000000001,5.0,1
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,mix,True,0.48101265822784817,10,08-08-23_19-41-13,0.08750000000000001,5.0,2
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,mix,True,0.9282700421940928,10,08-08-23_19-41-29,0.08750000000000001,5.0,2
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,mix,True,0.9932885906040269,10,08-08-23_19-41-42,0.08750000000000001,5.0,2
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,mix,True,1.0,10,08-08-23_19-41-57,0.08750000000000001,5.0,2
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,mix,True,0.9290322580645162,10,08-08-23_19-42-10,0.08750000000000001,5.0,2
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,mix,True,0.9782608695652174,10,08-08-23_19-42-22,0.08750000000000001,5.0,2
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,mix,True,0.8727272727272727,10,08-08-23_19-42-37,0.08750000000000001,5.0,2
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,mix,True,0.994535519125683,10,08-08-23_19-42-53,0.08750000000000001,5.0,2
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,mix,True,0.9971014492753623,10,08-08-23_19-43-06,0.08750000000000001,5.0,2
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,mix,True,0.8489208633093526,10,08-08-23_19-43-19,0.08750000000000001,5.0,2
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,mix,True,0.48101265822784817,11,08-08-23_19-43-34,0.08750000000000001,5.0,2
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,mix,True,0.9282700421940928,11,08-08-23_19-43-50,0.08750000000000001,5.0,2
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,mix,True,0.9932885906040269,11,08-08-23_19-44-03,0.08750000000000001,5.0,2
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,mix,True,1.0,11,08-08-23_19-44-18,0.08750000000000001,5.0,2
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,mix,True,0.9290322580645162,11,08-08-23_19-44-31,0.08750000000000001,5.0,2
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,mix,True,0.9782608695652174,11,08-08-23_19-44-43,0.08750000000000001,5.0,2
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,mix,True,0.8727272727272727,11,08-08-23_19-44-58,0.08750000000000001,5.0,2
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,mix,True,0.994535519125683,11,08-08-23_19-45-14,0.08750000000000001,5.0,2
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,mix,True,0.9971014492753623,11,08-08-23_19-45-27,0.08750000000000001,5.0,2
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,mix,True,0.8489208633093526,11,08-08-23_19-45-40,0.08750000000000001,5.0,2
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,mix,True,0.588957055214724,12,08-08-23_19-45-50,0.08750000000000001,5.0,1
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,mix,True,0.869198312236287,12,08-08-23_19-46-00,0.08750000000000001,5.0,1
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,mix,True,0.9664429530201343,12,08-08-23_19-46-08,0.08750000000000001,5.0,1
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,mix,True,1.0,12,08-08-23_19-46-16,0.08750000000000001,5.0,1
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,mix,True,0.8441558441558442,12,08-08-23_19-46-24,0.08750000000000001,5.0,1
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,mix,True,0.9304812834224598,12,08-08-23_19-46-30,0.08750000000000001,5.0,1
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,mix,True,0.8750000000000001,12,08-08-23_19-46-41,0.08750000000000001,5.0,1
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,mix,True,0.9891304347826088,12,08-08-23_19-46-51,0.08750000000000001,5.0,1
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,mix,True,0.9677419354838709,12,08-08-23_19-46-59,0.08750000000000001,5.0,1
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,mix,True,0.9577464788732395,12,08-08-23_19-47-07,0.08750000000000001,5.0,1
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,mix,True,0.48101265822784817,13,08-08-23_19-47-21,0.08750000000000001,5.0,2
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,mix,True,0.9282700421940928,13,08-08-23_19-47-37,0.08750000000000001,5.0,2
