track_name,mbz_id,fname,instrument,center,backtrack,f_score,iterations,time,max_size,wait,delta,pre_max,post_max,pre_avg,post_avg
A Sleeping Bee,85b8621e-33b2-4ec9-804d-2f6acc31b013,evansb-asleepingbee-gomezemorellm-1969-85b8621e,bass,True,False,0.3270270270270271,3,27-10-23_11-17-58,5,8,0.05,12,5,5,5
How Deep Is the Ocean,29cee7e1-f0a4-4ee0-be3b-ad1129933c7a,evansb-howdeepistheocean-gomezemorellm-1969-29cee7e1,bass,True,False,0.5422446406052963,3,27-10-23_11-18-05,5,8,0.05,12,5,5,5
Nardis,1a057fb9-2773-4a90-b163-441032c10955,evansb-nardis-gomezemorellm-1972-1a057fb9,bass,True,False,0.6582010582010581,3,27-10-23_11-18-06,5,8,0.05,12,5,5,5
Our Love Is Here to Stay,d66bd275-f3ac-45b8-bdd8-60045917d694,evansb-ourloveishereto-gomezemorellm-1969-d66bd275,bass,True,False,0.34325744308231176,3,27-10-23_11-18-01,5,8,0.05,12,5,5,5
SeeSaw,166c480f-4084-491d-a32a-8c899b0e9940,evansb-seesaw-gomezemorellm-1974-166c480f,bass,True,False,0.6472424557752341,3,27-10-23_11-18-08,5,8,0.05,12,5,5,5
How About You,597be228-4b30-4d1b-909d-dbe4fb57d937,evansb-howaboutyou-gomezedejohnettej-1968-597be228,bass,True,False,0.5107084019769357,4,27-10-23_11-18-20,5,10,0.05,16,5,5,5
Turn Out the Stars,7e8112aa-7274-46fc-9b41-5c6af74839ad,evansb-turnoutthestars-gomezedejohnettej-1968-7e8112aa,bass,True,False,0.3709167544783983,4,27-10-23_11-18-20,5,10,0.05,16,5,5,5
All of You,1324a29e-6075-4beb-861d-73f6de9be20a,evansb-allofyou-gomezezigmunde-1975-1324a29e,bass,True,False,0.5890778871978514,4,27-10-23_11-18-27,5,10,0.05,16,5,5,5
Wrap Your Troubles in Dreams,a007f3a3-e9be-498b-b87c-f89a6ae4e523,evansb-wrapyourtroublesindreams-gomezejoep-1967-a007f3a3,bass,True,False,0.5379310344827586,4,27-10-23_11-18-20,5,10,0.05,16,5,5,5
Youre Gonna Hear From Me,f476cd37-454f-4f73-8b41-ad55c08aafad,evansb-youregonnahearfromme-gomezejoep-1966-f476cd37,bass,True,False,0.4824427480916031,4,27-10-23_11-18-23,5,10,0.05,16,5,5,5
Deed I Do,57707551-2a88-4a64-ae65-552f1b9ce4bc,evansb-deedido-israelscbunkerl-1966-57707551,bass,True,False,0.4062992125984252,4,27-10-23_11-18-20,5,10,0.05,16,5,5,5
Blues in F,22dcfe38-dd8d-47d6-9cb6-f21d811ad5dd,evansb-bluesinf-israelscbunkerl-1963-22dcfe38,bass,True,False,0.31531531531531537,4,27-10-23_11-18-17,5,10,0.05,16,5,5,5
Glorias Step take 1 interrupted,af9c1ed7-0406-4411-a53e-32c5350c9bf8,evansb-gloriassteptake1interrupted-lafarosmotianp-1961-af9c1ed7,bass,True,False,0.3951612903225806,4,27-10-23_11-18-13,5,10,0.05,16,5,5,5
Glorias Step take 3,f72a8e95-4a9f-409a-aff7-8857540adf73,evansb-gloriassteptake3-lafarosmotianp-1961-f72a8e95,bass,True,False,0.40329218106995884,4,27-10-23_11-18-19,5,10,0.05,16,5,5,5
Israel,96983faa-05bb-4900-b8f3-a6af4ec08290,evansb-israel-lafarosmotianp-1961-96983faa,bass,True,False,0.36036036036036034,4,27-10-23_11-18-30,5,10,0.05,16,5,5,5
